Year,Month,Civilians,Security Force Personnel,Terrorist,Total
2018,January,2,4,10,16
2018,February,4,11,8,23
2018,March,1,7,26,34
2018,April,16,6,20,42
2018,May,13,4,19,36
2018,June,5,11,25,41
2018,July,4,8,13,25
2018,August,6,15,27,48
2018,September,6,88,33,47
2018,October,13,11,30,54
2018,November,8,5,40,53
2018,December,8,5,19,32
2018,Total,86,95,270,451
2017,January,3,0,13,16
2017,February,3,9,11,23
2017,March,4,1,11,16
2017,April,5,5,8,18
2017,May,10,10,17,37
2017,June,3,15,30,48
2017,July,10,1,27,38
2017,August,5,14,25,44
2017,September,5,4,18,27
2017,October,5,8,18,31
2017,November,1,10,27,38
2017,December,3,6,13,22
2017,Total,57,83,218,358
2016,January,0,0,6,6
2016,February,1,7,13,21
2016,March,0,0,9,9
2016,April,1,0,8,9
2016,May,2,8,17,27
2016,June,1,15,24,40
2016,July,2,4,15,21
2016,August,1,10,12,23
2016,September,1,24,22,47
2016,October,2,5,13,20
2016,November,0,11,20,31
2016,December,3,4,6,13
2016,Total,14,88,165,267
2015,January,0,3,10,13
2015,February,0,0,8,8
2015,March,2,3,4,9
2015,April,0,6,2,8
2015,May,4,6,7,17
2015,June,5,2,8,15
2015,July,4,2,12,18
2015,August,2,4,13,19
2015,September,2,4,18,24
2015,October,0,8,13,21
2015,November,1,2,8,11
2015,December,0,1,10,11
2015,Total,20,41,113,174
2014,January,0,1,7,8
2014,February,1,0,11,12
2014,March,2,3,5,10
2014,April,4,7,8,19
2014,May,1,3,5,9
2014,June,2,2,7,11
2014,July,0,4,8,12
2014,August,3,8,13,24
2014,September,1,2,14,17
2014,October,5,4,7,16
2014,November,8,4,10,22
2014,December,5,13,15,33
2014,Total,32,51,110,193
2013,January,4,0,0,4
2013,February,1,0,2,3
2013,March,2,9,3,14
2013,April,1,4,1,6
2013,May,2,6,5,13
2013,June,1,10,11,22
2013,July,3,7,21,31
2013,August,0,8,20,28
2013,September,5,9,21,35
2013,October,0,4,10,14
2013,November,0,2,0,2
2013,December,1,2,6,9
2013,Total,20,61,100,181
2012,January,2,0,1,3
2012,February,2,0,5,7
2012,March,2,0,6,8
2012,April,0,1,5,6
2012,May,1,1,11,13
2012,June,1,1,2,4
2012,July,0,4,7,11
2012,August,1,1,4,6
2012,September,2,3,10,15
2012,October,2,0,9,11
2012,November,3,4,8,15
2012,December,0,2,16,18
2012,Total,16,17,84,117
2011,January,2,2,2,6
2011,February,3,0,3,6
2011,March,2,0,10,12
2011,April,6,6,6,18
2011,May,6,3,12,21
2011,June,3,1,14,18
2011,July,6,7,14,27
2011,August,4,2,34,40
2011,September,0,6,8,14
2011,October,0,0,15,15
2011,November,0,1,1,2
2011,December,2,2,0,4
2011,Total*,34,30,119,183
2010,January,5,6,13,24
2010,February,2,8,25,35
2010,March,5,9,25,39
2010,April,2,4,23,29
2010,May,2,10,31,43
2010,June,2,8,20,30
2010,July,3,3,19,25
2010,August,8,9,19,36
2010,September,3,3,37,43
2010,October,1,4,30,35
2010,November,3,4,23,30
2010,December,0,1,5,6
2010,Total,36,69,270,375
2009,January,0,7,19,26
2009,February,0,0,6,6
2009,March,2,11,36,49
2009,April,10,6,24,40
2009,May,9,3,14,26
2009,June,11,4,13,28
2009,July,6,4,17,27
2009,August,6,12,32,50
2009,September,5,15,24,44
2009,October,1,1,34,36
2009,November,1,8,19,28
2009,December,4,7,4,15
2009,Total,55,78,242,375
2008,January,3,5,26,34
2008,February,0,4,34,38
2008,March,12,6,22,40
2008,April,3,5,36,44
2008,May,8,7,26,41
2008,June,1,10,37,48
2008,July,17,25,40,82
2008,August,10,9,35,54
2008,September,4,10,45,59
2008,October,4,3,43,50
2008,November,2,3,29,34
2008,December*,5,3,9,17
2008,Total,69,90,382,541
2007,January,11,9,24,44
2007,February,11,12,26,49
2007,March,37,5,26,68
2007,April,22,3,43,68
2007,May,9,9,42,60
2007,June,15,15,53,83
2007,July,19,10,60,89
2007,August,16,10,40,66
2007,September,5,9,57,71
2007,October,7,20,55,82
2007,November,8,14,54,76
2007,December,4,5,12,21
2007,Total,164,121,492,777
2006,January,11,9,49,69
2006,February,11,7,43,61
2006,March,14,13,43,70
2006,April,37,16,38,91
2006,May,75,13,52,140
2006,June,49,11,54,114
2006,July,36,10,63,109
2006,August,23,24,59,106
2006,September,28,22,61,111
2006,October,21,23,64,108
2006,November,24,17,43,84
2006,December,20,3,30,53
2006,Total,349,168,599,1116
2005,January,41,16,61,118
2005,February,13,7,46,66
2005,March,45,8,64,117
2005,April,34,13,110,157
2005,May,60,28,110,198
2005,June,56,33,99,188
2005,July,64,24,155,243
2005,August,47,11,75,133
2005,September,55,22,90,167
2005,October,44,25,84,153
2005,November,42,16,43,101
2005,December,20,15,63,98
2005,Total,521,218,1000,1739
2004,January,31,21,86,138
2004,February,46,27,86,159
2004,March,38,21,83,142
2004,April,58,22,58,138
2004,May,65,44,88,197
2004,June,57,24,82,163
2004,July,67,44,118,229
2004,August,39,31,66,136
2004,September,49,26,85,160
2004,October,32,23,91,146
2004,November,26,18,58,102
2004,December,26,24,50,100
2004,Total,534,325,951,1810
2003,January,48,21,109,178
2003,February,30,12,78,120
2003,March,75,27,98,200
2003,April,49,31,157,237
2003,May,67,33,144,244
2003,June,69,32,134,235
2003,July,61,38,125,224
2003,August,58,39,136,233
2003,September,82,38,196,316
2003,October,47,26,153,226
2003,November,39,26,121,186
2003,December,33,15,95,143
2003,Total,658,338,1546,2542
2002,January,70,35,173,278
2002,February,50,16,130,196
2002,March,63,38,144,245
2002,April,81,33,175,289
2002,May,84,34,163,281
2002,June,54,20,96,170
2002,July,91,34,110,235
2002,August,76,38,155,269
2002,September,92,68,145,305
2002,October,59,65,168,292
2002,November,75,61,119,255
2002,December,44,27,136,207
2002,Total,839,469,1714,3022
2001,Total,1067,590,2850,4507
2000,Total,842,638,1808,3288
1999,Total,799,555,1184,2538
1998,Total,877,339,1045,2261
1997,Total,840,355,1177,2372
1996,Total,1333,376,1194,2903
1995,Total,1161,297,1338,2796
1994,Total,1012,236,1651,2899
1993,Total,1023,216,1328,2567
1992,Total,859,177,873,1909
1991,Total,594,185,614,1393
1990,Total,862,132,183,1177
1989,Total,79,13,0,92
1988,Total,29,1,1,31
